times,theta_mu,theta_var,range_mu,range_var
1398179945.767888,-1.3946385948055926,1.3788412799990226e-06,1.8657204341570124,0.00024218909707569584
1398179945.883828,-1.3904301739751495,1.4362686751572748e-06,1.8650051419027374,0.00022662065136864944
1398179945.97959,-1.3865693446199567,9.595440752075072e-07,1.864106502427955,0.0002148610590144283
1398179946.092318,-1.382385828102632,1.9790411176963534e-06,1.8629083506661877,0.00020169088675058472
1398179946.212562,-1.3778476209102886,1.35082046315013e-06,1.8617905888330788,0.00017948973970516042
1398179946.340514,-1.3736240887184181,1.3997484492362123e-06,1.8614451862790937,0.00017294079335515068
1398179946.437477,-1.3694577379377066,1.4040302512240482e-06,1.861549024704286,0.00016727572554311334
1398179946.567788,-1.3652230133618972,1.345329673511434e-06,1.8622529987160867,0.00015946253198900696
1398179946.66528,-1.3613933931674722,9.63528800763372e-07,1.8636564455178743,0.00016394055388024224
1398179946.764268,-1.357871575008465,9.956956699327198e-07,1.864770950927128,0.0001529569557700171
1398179946.867697,-1.3540532583765017,1.458939277071262e-06,1.8656330134101744,0.00015132692203043984
1398179946.987729,-1.3494819176468036,1.933663663223e-06,1.8654912803202932,0.00011843916041942829
1398179947.12007,-1.3445880890241781,2.028141088971844e-06,1.8647751530163643,8.99254375005829e-05
1398179947.247754,-1.3400460928367122,1.3599094247374982e-06,1.8643976437751608,6.966933829417037e-05
1398179947.380012,-1.335477391845589,1.9750700303624834e-06,1.8645187708992688,5.013524734108889e-05
1398179947.482825,-1.3313200399101952,9.392445887250165e-07,1.8653201725990143,3.857374337002787e-05
1398179947.600042,-1.3270709806394687,1.9531133318033e-06,1.866584858135324,3.224184917889589e-05
1398179947.702824,-1.3229103971521854,9.655345750989674e-07,1.867094594664972,2.8731340527307087e-05
1398179947.829437,-1.3190314127988472,1.3633728877363668e-06,1.8671137078131206,2.83586249043887e-05
1398179947.936004,-1.3144908767429235,1.951568651717513e-06,1.8674983035537835,2.924194836341568e-05
1398179948.053132,-1.3102977362512132,9.33036842981358e-07,1.86883753944412,2.7712783829731673e-05
1398179948.149085,-1.30645231994958,1.402164849468717e-06,1.8696325525945756,2.800733101902778e-05
1398179948.254318,-1.3025700419055974,9.601548618404619e-07,1.8702455713977266,2.9038386775926837e-05
1398179948.351388,-1.2991192525895008,9.92488261583469e-07,1.8697051822020607,2.7504429045013103e-05
1398179948.447442,-1.2955870279507378,9.442521262078843e-07,1.8696874573505273,2.323583520546696e-05
1398179948.572045,-1.2917645466281822,1.3719450576222465e-06,1.8699558879245364,3.021926802921565e-05
1398179948.69193,-1.2871848949283515,1.913345141954271e-06,1.8704406743388446,4.211944297481819e-05
1398179948.817006,-1.2830060178757106,9.60978099120361e-07,1.8717328879626394,4.869773408717034e-05
1398179948.927161,-1.2787915898997442,1.8707560803178668e-06,1.8725879623079609,5.090914976004339e-05
1398179949.043936,-1.2742416707487518,1.4489740957719773e-06,1.873349681550924,5.3641006479935e-05
1398179949.148023,-1.2704148494618113,9.359795540371369e-07,1.8746556262628407,5.098945345821061e-05
1398179949.267566,-1.2658389964757997,2.5998233436134735e-06,1.8766719926100204,3.915872785686086e-05
1398179949.389672,-1.2613156801046286,1.000255789971358e-06,1.878944018964535,2.9525477811910774e-05
1398179949.507978,-1.2577947181006648,9.644681912959012e-07,1.88067971455014,2.9854079681720883e-05
1398179949.60796,-1.2535981710376882,1.9275345258711822e-06,1.8822467713195212,3.4026488327192874e-05
1398179949.713381,-1.2493977342597604,9.426472328812297e-07,1.8831358585050044,3.401642272963777e-05
1398179949.810755,-1.2459015216343612,9.515870222098354e-07,1.8847065432108827,2.8759587602335286e-05
1398179949.923867,-1.2417070885686974,1.9623526286552534e-06,1.8862105424498254,2.7547262562392078e-05
1398179950.030092,-1.2371563391658655,1.3716543645278345e-06,1.8873339602294588,3.013870799911267e-05
1398179950.14938,-1.2336216643472167,5.893524281858903e-07,1.8883224236190257,3.5181516783193855e-05
1398179950.247826,-1.2297983864793602,1.964731328719502e-06,1.889284997261555,3.911195324300916e-05
1398179950.349559,-1.2259554546572367,6.218351584893719e-07,1.8905535675086926,3.885245845136375e-05
1398179950.468015,-1.222110021698637,1.930318051692546e-06,1.8917610510275251,4.179958508096104e-05
1398179950.588179,-1.2171901295423286,1.960110852616733e-06,1.8935692574458187,5.70118079998457e-05
1398179950.70572,-1.213026788386697,1.0572910863272358e-06,1.8947240313892812,7.808345380963876e-05
1398179950.824038,-1.2087994164324856,1.96695274234313e-06,1.8954082761597184,8.669210419771823e-05
1398179950.936191,-1.2046117583037992,1.0244993033878555e-06,1.8973583092377628,8.15552543013458e-05
1398179951.055811,-1.2003965037935305,1.9482178323742625e-06,1.8988633181852332,8.050397265026836e-05
1398179951.176117,-1.1955061758133656,1.9832576940001616e-06,1.900060983967659,8.631595071241964e-05
1398179951.290692,-1.1913029192907723,9.920802043785284e-07,1.9016423496758792,9.522047353249501e-05
1398179951.419918,-1.1871117814357273,1.957851683077121e-06,1.903420503487083,0.00010316836056033522
1398179951.521405,-1.1829083592718195,9.719726167299359e-07,1.9049873456187187,0.00011273036775561966
1398179951.648164,-1.1787150739978758,1.9335902712906123e-06,1.9058795267549908,0.0001263995685796744
1398179951.759931,-1.17415351676642,1.3896696684761385e-06,1.9066981231491018,0.00013743980055073204
1398179951.892054,-1.1695912394436287,1.9678239729171433e-06,1.908713117195069,0.00014439700722587956
1398179952.024189,-1.1650568881140118,1.4718675968870125e-06,1.9105357238297664,0.000158470608957813
1398179952.148858,-1.1608571456455459,1.4043238662355067e-06,1.912387044289888,0.00016664293665327436
1398179952.247932,-1.156654965806241,1.4589154949089892e-06,1.91419119055082,0.0001768779849293004
1398179952.367787,-1.152467147942027,1.38705869438695e-06,1.915878878395662,0.00018326326266430412
1398179952.480047,-1.1482399541863884,1.4480763690141902e-06,1.916877553721694,0.00018349269312080264
1398179952.579821,-1.1440721916398893,1.457244183751463e-06,1.9188429969504515,0.00017331943171410193
1398179952.704261,-1.1398474621306633,1.417454323037103e-06,1.9212414787654177,0.00015832441815790487
1398179952.824091,-1.135306610944642,2.0367223222616707e-06,1.9240055140119237,0.0001452681139152289
1398179952.930009,-1.131115558583723,9.82068776419375e-07,1.9266011039690345,0.00014236962969361603
1398179953.029845,-1.1272504783949033,1.4509044611887729e-06,1.929029816768371,0.00013199382497991856
1398179953.136029,-1.1234285271697169,9.260076752564879e-07,1.9317340466985011,0.0001302160873118075
1398179953.233752,-1.1202548208408767,5.821084172823803e-07,1.9336401641944658,0.00012970065691337318
1398179953.332011,-1.1167487152764857,1.396737488814016e-06,1.9362432012747517,0.0001301439654814564
1398179953.435807,-1.1122012288926066,2.0216331943612076e-06,1.9396278454084144,0.00012323852829176064
1398179953.558071,-1.1080257668126021,9.98333632156171e-07,1.9431353131733298,0.00010548283046960527
1398179953.668133,-1.1041501389494777,1.448679291599011e-06,1.9462806502137293,7.31076355020464e-05
